statefip,StateName,StateAbbrev,MktplceType,MktplcPlanElig_Total_NUM,PlanElig_With_FA_NUM,MktplcMcaidCHIPEligDet_Total_NUM,PlanSel_Total_NUM,PlanSel_Total_NUM,PlanSel_TotKnownGend_NUM,PlanSel_Fem_PCT,PlanSel_Male_PCT,PlanSel_Total_NUM,PlanSel_TotKnownAge_NUM,PlanSel_LT18_PCT,PlanSel_18-25_PCT,PlanSel_26-34_PCT,PlanSel_35-44_PCT,PlanSel_45-54_PCT,PlanSel_55-64_PCT,PlanSel_GE65_PCT,PlanSel_18-34_PCT,PlanSel_Total_NUM,PlanSel_MetalKnown_NUM,PlanSel_Bronze_PCT,PlanSel_Silver_PCT,PlanSel_Gold_PCT,PlanSel_PlatiPCT_PCT,PlanSel_Catastr_PCT,PlanSel_Total_NUM,PlanSel_FinAsstKnown_NUM,PlanSel_WithFinAsst_PCT,PlanSel_WOFinAsst_PCT,PlanSel_Fem_NUM,PlanSel_FemKnownAge_NUM,PlanSel_FemLT18_PCT,PlanSel_Fem18-25_PCT,PlanSel_Fem26-34_PCT,PlanSel_Fem35-44_PCT,PlanSel_Fem45-54_PCT,PlanSel_Fem55-64_PCT,PlanSel_FemGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Male_NUM,PlanSel_MaleKnownAge_NUM,PlanSel_MaleLT18_PCT,PlanSel_Male18-25_PCT,PlanSel_Male26-34_PCT,PlanSel_Male35-44_PCT,PlanSel_Male45-54_PCT,PlanSel_Male55-64_PCT,PlanSel_MaleGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Fem_NUM,PlanSel_FemMetalKnown_NUM,PlanSel_FemBronze_PCT,PlanSel_FemSilver_PCT,PlanSel_FemGold_PCT,PlanSel_FemPlatiPCT_PCT,PlanSel_FemCatastr_PCT,PlanSel_Male_NUM,PlanSel_MaleMetalKnown_NUM,PlanSel_MaleBronze_PCT,PlanSel_MaleSilver_PCT,PlanSel_MaleGold_PCT,PlanSel_MalePlatiPCT_PCT,PlanSel_MaleCatastr_PCT,PlanSel_WithFinAsst_NUM,PlanSel_WithFinAsstMetalKnown_NUM,PlanSel_WithFinAsstBronze_PCT,PlanSel_WithFinAsstSilver_PCT,PlanSel_WithFinAsstGold_PCT,PlanSel_WithFinAsstPlatiPCT_PCT,PlanSel_WithFinAsstCatastr_PCT,PlanSel_WOFinAsst_NUM,PlanSel_WOFinAsstMetalKnown_NUM,PlanSel_WOFinAsstBronze_PCT,PlanSel_WOFinAsstSilver_PCT,PlanSel_WOFinAsstGold_PCT,PlanSel_WOFinAsstPlatiPCT_PCT,PlanSel_WOFinAsstCatastr_PCT,PlanSel_Brze_NUM,PlanSel_BrzeKnownAge_NUM,PlanSel_BrzeLT18_PCT,PlanSel_Brze18-25_PCT,PlanSel_Brze26-34_PCT,PlanSel_Brze35-44_PCT,PlanSel_Brze45-54_PCT,PlanSel_Brze55-64_PCT,PlanSel_BrzeGE65_PCT,PlanSel_Brze18-34_PCT,PlanSel_Silv_NUM,PlanSel_SilvKnownAge_NUM,PlanSel_SilvLT18_PCT,PlanSel_Silv18-25_PCT,PlanSel_Silv26-34_PCT,PlanSel_Silv35-44_PCT,PlanSel_Silv45-54_PCT,PlanSel_Silv55-64_PCT,PlanSel_SilvGE65_PCT,PlanSel_Silv18-34_PCT,PlanSel_Gold_NUM,PlanSel_GoldKnownAge_NUM,PlanSel_GoldLT18_PCT,PlanSel_Gold18-25_PCT,PlanSel_Gold26-34_PCT,PlanSel_Gold35-44_PCT,PlanSel_Gold45-54_PCT,PlanSel_Gold55-64_PCT,PlanSel_GoldGE65_PCT,PlanSel_Gold18-34_PCT,PlanSel_Plat_NUM,PlanSel_PlatKnownAge_NUM,PlanSel_PlatLT18_PCT,PlanSel_Plat18-25_PCT,PlanSel_Plat26-34_PCT,PlanSel_Plat35-44_PCT,PlanSel_Plat45-54_PCT,PlanSel_Plat55-64_PCT,PlanSel_PlatGE65_PCT,PlanSel_Plat18-34_PCT,PlanSel_Cat_NUM,PlanSel_CatKnownAge_NUM,PlanSel_CatLT18_PCT,PlanSel_Cat18-25_PCT,PlanSel_Cat26-34_PCT,PlanSel_Cat35-44_PCT,PlanSel_Cat45-54_PCT,PlanSel_Cat55-64_PCT,PlanSel_CatGE65_PCT,PlanSel_Cat18-34_PCT,PlanSel_StDent_NUM,PlanSel_StDentKnownAge_NUM,PlanSel_StDentLT18_PCT,PlanSel_StDent18-25_PCT,PlanSel_StDent26-34_PCT,PlanSel_StDent35-44_PCT,PlanSel_StDent45-54_PCT,PlanSel_StDent55-64_PCT,PlanSel_StDentGE65_PCT,PlanSel_StDent18-34_PCT,PlanSel_Total_NUM,PlanSel_AIAN_NUM,PlanSel_Asian_NUM,PlanSel_NHPI_NUM,PlanSel_AfrAm_NUM,PlanSel_Latino_NUM,PlanSel_White_NUM,PlanSel_Multir_NUM,PlanSel_UnknOth_NUM,PlanSel_TotKnownRaceEth_NUM,PlanSel_AIAN_PCT,PlanSel_Asian_PCT,PlanSel_NHPI_PCT,PlanSel_AfrAm_PCT,PlanSel_Latino_PCT,PlanSel_White_PCT,PlanSel_Multir_PCT,PlanSel_Total_Prev_NUM,PlanSel_Total_NUM,PlanSel_Total_Chg_NUM,PlanSel_Total_Chg_PCT
37,North Carolina ,NC,FFM,581173,396212,73898,357584,357584,357495,0.56,0.44,357584,357584,0.07,0.11,0.17,0.19,0.22,0.24,0,0.28,357584,357584,0.16,0.74,0.05,0.03,0.02,357584,357584,0.91,0.09,201670,201670,0.06,0.1,0.17,0.18,0.22,0.26,0,0.09,0.28,155825,155825,0.08,0.11,0.17,0.19,0.22,0.23,0,0.11,0.28,201670,201670,0.15,0.76,0.05,0.03,0.02,155825,155825,0.17,0.72,0.06,0.03,0.02,325105,325105,0.14,0.79,0.05,0.02,,32479,32479,0.34,0.23,0.14,0.1,0.21,57024,57024,0.08,0.08,0.17,0.18,0.23,0.26,0,0.25,265462,265462,0.06,0.11,0.16,0.19,0.23,0.25,0,0.27,19401,19401,0.15,0.07,0.15,0.18,0.2,0.24,0,0.23,10033,10033,0.13,0.08,0.2,0.21,0.2,0.18,0,0.27,6889,6889,0.03,0.36,0.46,0.08,0.05,0.03,,0.815067499,38266,38266,0.02,0.11,0.24,0.22,0.22,0.19,0,0.35,357584,1565,12295,140,58313,7563,166469,3139,108100,249484,0.006,0.049,0.001,0.234,0.03,0.667,0.013,200546,357584,157038,0.783052267
38,North Dakota ,ND,FFM,16627,11974,6843,10597,10597,10596,0.52,0.48,10597,10597,0.19,0.08,0.18,0.14,0.16,0.25,0,0.26,10597,10597,0.19,0.44,0.35,0,0.02,10597,10597,0.85,0.15,5475,5475,0.19,0.08,0.18,0.13,0.16,0.26,0,0.22,0.26,5121,5121,0.2,0.08,0.19,0.14,0.16,0.24,0,0.22,0.26,5475,5475,0.18,0.46,0.35,0,0.01,5121,5121,0.2,0.43,0.35,0,0.02,9001,9001,0.17,0.49,0.33,0,,1596,1596,0.29,0.16,0.45,0,0.11,2026,2026,0.16,0.06,0.19,0.13,0.17,0.28,0,0.26,4696,4696,0.17,0.09,0.18,0.14,0.17,0.26,0,0.27,3728,3728,0.25,0.06,0.16,0.14,0.15,0.24,0,0.22,0,0,,,,,,,,,172,172,0.09,0.34,0.55,0.02,0,0,,0.889534884,926,926,0.06,0.1,0.25,0.2,0.18,0.2,0.01,0.35,10597,82,156,*,120,112,7950,120,2054,8543,0.01,0.018,*,0.014,0.013,0.931,0.014,5238,10597,5359,1.02310042
39,Ohio ,OH,FFM,285967,185780,156899,154668,154668,154638,0.54,0.46,154668,154668,0.09,0.08,0.15,0.15,0.21,0.31,0,0.24,154668,154668,0.25,0.6,0.12,0.02,0.02,154668,154668,0.85,0.15,84262,84262,0.08,0.08,0.15,0.14,0.22,0.33,0,0.11,0.22,70376,70376,0.1,0.09,0.17,0.16,0.2,0.28,0,0.13,0.25,84262,84262,0.24,0.61,0.12,0.02,0.01,70376,70376,0.26,0.58,0.13,0.02,0.02,131515,131515,0.24,0.65,0.1,0.01,,23153,23153,0.29,0.29,0.26,0.05,0.11,38246,38246,0.1,0.07,0.12,0.13,0.22,0.35,0,0.19,92181,92181,0.07,0.08,0.16,0.16,0.22,0.31,0,0.24,19197,19197,0.14,0.07,0.13,0.15,0.2,0.3,0,0.2,3064,3064,0.17,0.06,0.16,0.19,0.19,0.22,0,0.22,2512,2512,0.05,0.36,0.58,0.01,0,0,,0.939490446,26155,26155,0.11,0.08,0.19,0.17,0.2,0.24,0,0.28,154668,131,4544,*,13142,1995,92306,1688,40824,113844,0.001,0.04,*,0.115,0.018,0.811,0.015,78925,154668,75743,0.959683244
40,Oklahoma ,OK,FFM,127915,76301,17374,69221,69221,69204,0.56,0.44,69221,69221,0.06,0.11,0.18,0.17,0.22,0.25,0,0.29,69221,69221,0.24,0.66,0.08,0.01,0.01,69221,69221,0.79,0.21,38472,38472,0.06,0.11,0.18,0.17,0.22,0.26,0,0.09,0.29,30732,30732,0.07,0.11,0.19,0.17,0.22,0.24,0,0.11,0.3,38472,38472,0.23,0.68,0.08,0.01,0.01,30732,30732,0.25,0.63,0.09,0.01,0.01,54795,54795,0.19,0.76,0.05,0,,14426,14426,0.43,0.27,0.22,0.04,0.05,16503,16503,0.08,0.11,0.2,0.16,0.21,0.25,0,0.3,45545,45545,0.05,0.11,0.17,0.18,0.22,0.26,0,0.28,5847,5847,0.12,0.08,0.19,0.17,0.2,0.23,0,0.27,802,802,0.1,0.12,0.22,0.22,0.21,0.13,0,0.35,725,725,0.02,0.39,0.42,0.09,0.05,0.03,,0.802758621,15808,15808,0.06,0.12,0.23,0.19,0.2,0.2,0,0.34,69221,1638,3588,51,4762,3952,36960,1793,16477,52744,0.031,0.068,0.001,0.09,0.075,0.701,0.034,32882,69221,36339,1.105133508
41,Oregon ,OR,SBM,124840,99902,207329,68308,68308,68308,0.57,0.43,68308,68308,0.05,0.07,0.15,0.15,0.21,0.37,0,0.22,68308,68308,0.22,0.66,0.11,0.01,0.01,68308,68308,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38806,68308,29502,0.760243261
42,Pennsylvania ,PA,FFM,549205,332915,42335,318077,318077,318019,0.54,0.46,318077,318076,0.03,0.11,0.19,0.17,0.22,0.28,0,0.3,318077,318077,0.08,0.73,0.11,0.06,0.02,318077,318077,0.81,0.19,172653,172653,0.03,0.11,0.19,0.16,0.22,0.29,0,0.06,0.29,145366,145365,0.04,0.11,0.21,0.17,0.22,0.26,0,0.06,0.31,172653,172653,0.07,0.74,0.11,0.06,0.02,145366,145366,0.09,0.71,0.11,0.07,0.03,258455,258455,0.05,0.82,0.08,0.05,,59622,59622,0.17,0.35,0.24,0.13,0.12,24012,24012,0.03,0.1,0.22,0.17,0.22,0.26,0,0.31,232332,232332,0.03,0.1,0.19,0.17,0.23,0.28,0,0.3,35579,35579,0.06,0.08,0.16,0.15,0.21,0.34,0,0.24,20038,20037,0.07,0.09,0.18,0.17,0.21,0.27,0,0.27,6998,6998,0.01,0.35,0.47,0.07,0.06,0.04,,0.817805087,86964,86964,0.01,0.12,0.25,0.19,0.21,0.21,0,0.37,318077,250,21353,121,28965,8047,172849,2977,83515,234562,0.001,0.091,0.001,0.123,0.034,0.737,0.013,159821,318077,158256,0.990207795
44,Rhode Island ,RI,SBM,43295,32471,70243,28485,28485,28485,0.52,0.48,28485,28485,0.05,0.11,0.18,0.18,0.23,0.26,0.01,0.28,28485,28485,0.24,0.6,0.15,0,0.01,28485,28485,0.88,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18902,28485,9583,0.506983388
45,South Carolina ,SC,FFM,213974,134969,28359,118324,118324,118304,0.57,0.43,118324,118324,0.06,0.11,0.17,0.17,0.23,0.26,0,0.28,118324,118314,0.16,0.73,0.1,0,0.02,118324,118324,0.88,0.12,67038,67038,0.05,0.11,0.16,0.17,0.23,0.28,0,0.08,0.27,51266,51266,0.07,0.11,0.18,0.18,0.22,0.24,0,0.1,0.29,67038,67032,0.14,0.75,0.1,0,0.02,51266,51262,0.18,0.7,0.11,0,0.02,103633,103625,0.14,0.79,0.08,0,,14691,14689,0.32,0.29,0.26,0,0.14,18837,18837,0.08,0.1,0.18,0.18,0.22,0.25,0,0.28,86090,86090,0.04,0.11,0.16,0.17,0.23,0.27,0,0.27,11848,11848,0.13,0.08,0.14,0.16,0.21,0.28,0,0.22,,,,,,,,,,,2043,2043,0.02,0.35,0.46,0.07,0.07,0.02,,0.813509545,18621,18621,0.05,0.11,0.24,0.21,0.2,0.19,0,0.35,118324,217,4051,58,24020,1653,51810,959,35556,82768,0.003,0.049,0.001,0.29,0.02,0.626,0.012,55830,118324,62494,1.11936235
46,South Dakota ,SD,FFM,24147,16243,3850,13104,13104,13101,0.54,0.46,13104,13104,0.09,0.09,0.21,0.15,0.19,0.27,0,0.3,13104,13104,0.14,0.73,0.06,0.06,0.01,13104,13104,0.9,0.1,7036,7036,0.08,0.1,0.2,0.15,0.19,0.28,0,0.11,0.3,6065,6065,0.1,0.09,0.21,0.15,0.18,0.26,0,0.13,0.3,7036,7036,0.13,0.74,0.06,0.06,0.01,6065,6065,0.15,0.72,0.06,0.06,0.01,11800,11800,0.13,0.77,0.05,0.05,,1304,1304,0.2,0.38,0.12,0.18,0.13,1852,1852,0.09,0.09,0.19,0.14,0.19,0.28,0,0.28,9563,9563,0.08,0.09,0.2,0.15,0.19,0.28,0,0.3,775,775,0.18,0.07,0.16,0.13,0.17,0.29,0.01,0.23,776,776,0.13,0.08,0.24,0.18,0.18,0.2,0,0.32,168,168,0.02,0.4,0.46,0.06,0.03,0.02,,0.869047619,1546,1546,0.02,0.11,0.26,0.18,0.2,0.23,0,0.36,13104,271,153,*,119,172,9889,154,2336,10768,0.025,0.014,*,0.011,0.016,0.918,0.014,6765,13104,6339,0.937028825
47,Tennessee ,TN,FFM,305628,169470,83591,151352,151352,151328,0.55,0.45,151352,151352,0.05,0.1,0.18,0.17,0.23,0.27,0,0.28,151352,151352,0.18,0.72,0.06,0.03,0.01,151352,151352,0.8,0.2,82672,82672,0.04,0.1,0.16,0.16,0.24,0.3,0,0.07,0.27,68656,68656,0.05,0.1,0.19,0.18,0.22,0.25,0,0.08,0.3,82672,82672,0.17,0.74,0.06,0.03,0.01,68656,68656,0.2,0.7,0.06,0.03,0.01,120565,120565,0.12,0.83,0.04,0.01,,30787,30787,0.42,0.3,0.15,0.1,0.04,27913,27913,0.05,0.11,0.21,0.16,0.22,0.25,0,0.32,109199,109199,0.04,0.1,0.16,0.17,0.24,0.29,0,0.26,8729,8729,0.09,0.07,0.17,0.18,0.21,0.27,0,0.25,4832,4832,0.1,0.1,0.25,0.21,0.2,0.14,0,0.34,1127,1127,0.02,0.39,0.42,0.08,0.06,0.03,,0.81011535,30177,30177,0.01,0.12,0.25,0.21,0.21,0.19,0,0.37,151352,203,5090,*,21107,2320,84093,1421,37073,114279,0.002,0.045,*,0.185,0.02,0.736,0.012,77867,151352,73485,0.943724556
48,Texas ,TX,FFM,1371157,835519,141494,733757,733757,733596,0.55,0.45,733757,733757,0.08,0.13,0.17,0.18,0.22,0.22,0.01,0.3,733757,733757,0.23,0.67,0.06,0.03,0.01,733757,733757,0.84,0.16,407105,407105,0.07,0.13,0.17,0.18,0.22,0.22,0.01,0.11,0.3,326491,326491,0.09,0.13,0.17,0.18,0.22,0.21,0.01,0.14,0.3,407105,407105,0.22,0.69,0.06,0.02,0.01,326491,326491,0.25,0.65,0.07,0.03,0.01,614626,614626,0.19,0.75,0.04,0.02,,119131,119131,0.43,0.25,0.19,0.08,0.07,168871,168871,0.1,0.12,0.17,0.17,0.22,0.22,0.01,0.29,492688,492688,0.07,0.13,0.16,0.18,0.23,0.22,0.01,0.29,46204,46204,0.16,0.09,0.19,0.18,0.19,0.19,0,0.28,19775,19775,0.13,0.1,0.23,0.22,0.18,0.13,0,0.34,8509,8509,0.04,0.36,0.44,0.09,0.05,0.03,,0.792807615,197674,197674,0.09,0.13,0.21,0.19,0.2,0.17,0,0.34,733757,1287,67479,447,70337,171648,192990,6547,223022,510735,0.003,0.132,0.001,0.138,0.336,0.378,0.013,295025,733757,438732,1.487101093
49,Utah ,UT,FFM,130945,97621,50268,84601,84601,84589,0.52,0.48,84601,84601,0.18,0.11,0.22,0.17,0.15,0.17,0,0.33,84601,84601,0.16,0.62,0.18,0.03,0.01,84601,84601,0.87,0.13,43790,43790,0.17,0.12,0.21,0.16,0.15,0.19,0,0.21,0.33,40799,40799,0.19,0.11,0.22,0.17,0.15,0.15,0,0.23,0.34,43790,43790,0.15,0.63,0.18,0.03,0.01,40799,40799,0.17,0.61,0.18,0.03,0.01,73427,73427,0.15,0.69,0.15,0.02,,11174,11174,0.25,0.21,0.36,0.1,0.09,13467,13467,0.21,0.1,0.19,0.16,0.15,0.19,0,0.29,52617,52617,0.15,0.12,0.23,0.17,0.16,0.17,0,0.35,15048,15048,0.27,0.09,0.18,0.15,0.14,0.18,0,0.26,2708,2708,0.19,0.11,0.24,0.19,0.13,0.13,0,0.35,1016,1016,0.08,0.37,0.53,0.01,0.01,0,,0.898622047,16047,16047,0.17,0.12,0.26,0.18,0.14,0.12,0,0.38,84601,307,2148,342,567,4100,50790,941,25406,59195,0.005,0.036,0.006,0.01,0.069,0.858,0.016,39902,84601,44699,1.120219538
50,Vermont ,VT,SBM,95203,28797,41704,38048,38048,38038,0.53,0.47,38048,38048,0.07,0.09,0.13,0.14,0.23,0.33,0,0.22,38048,38048,0.22,0.51,0.12,0.14,0.02,38048,38033,0.59,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326,38048,13722,0.564087807
51,Virginia ,VA,FFM,392340,231534,48660,216356,216356,216309,0.54,0.46,216356,216355,0.08,0.12,0.19,0.18,0.21,0.22,0.01,0.31,216356,216356,0.22,0.64,0.11,0.01,0.03,216356,216356,0.82,0.18,117824,117824,0.07,0.12,0.19,0.18,0.22,0.23,0.01,0.11,0.3,98485,98484,0.09,0.12,0.19,0.18,0.21,0.21,0.01,0.13,0.31,117824,117824,0.21,0.66,0.11,0.01,0.02,98485,98485,0.24,0.62,0.11,0.01,0.03,177240,177240,0.18,0.74,0.08,0,,39116,39116,0.4,0.2,0.25,0.03,0.14,48128,48127,0.1,0.1,0.19,0.18,0.22,0.21,0.01,0.29,138430,138430,0.06,0.12,0.18,0.18,0.22,0.23,0.01,0.3,23503,23503,0.16,0.09,0.18,0.17,0.19,0.21,0,0.26,1605,1605,0.15,0.09,0.26,0.23,0.17,0.11,0,0.34,5493,5493,0.02,0.36,0.48,0.07,0.05,0.02,,0.835973057,53208,53207,0.06,0.12,0.23,0.2,0.2,0.18,0,0.36,216356,294,26298,145,33098,4294,81568,2748,67911,148445,0.002,0.177,0.001,0.223,0.029,0.549,0.019,102815,216356,113541,1.104323299
53,Washington ,WA,SBM,240880,151441,909752,163207,163207,163207,0.58,0.42,163207,163207,0.04,0.09,0.17,0.17,0.22,0.31,0.01,0.26,163207,163207,0.38,0.53,0.09,0,0,163207,163207,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107262,163207,55945,0.521573344
54,West Virginia ,WV,FFM,36749,24634,21019,19856,19856,19854,0.57,0.43,19856,19856,0.05,0.06,0.13,0.15,0.23,0.38,0,0.19,19856,19856,0.14,0.68,0.17,0,0,19856,19856,0.86,0.14,11287,11287,0.04,0.06,0.12,0.14,0.23,0.41,0,0.06,0.18,8567,8567,0.05,0.07,0.14,0.16,0.22,0.35,0,0.07,0.21,11287,11287,0.13,0.7,0.17,0,0,8567,8567,0.16,0.66,0.18,0,0.01,17092,17092,0.13,0.74,0.13,0,,2764,2764,0.23,0.32,0.42,0,0.03,2824,2824,0.04,0.07,0.13,0.13,0.24,0.39,0,0.2,13517,13517,0.04,0.06,0.13,0.15,0.23,0.39,0,0.19,3456,3456,0.09,0.06,0.13,0.15,0.21,0.36,0,0.19,0,0,,,,,,,,,92,92,0,0.41,0.57,0.01,0,0.01,,0.97826087,3700,3700,0.01,0.08,0.2,0.19,0.21,0.3,0,0.28,19856,21,280,*,459,108,14856,132,3996,15860,0.001,0.018,*,0.029,0.007,0.937,0.008,10599,19856,9257,0.873384282
55,Wisconsin ,WI,FFM,230516,168721,81274,139815,139815,139789,0.55,0.45,139815,139815,0.05,0.09,0.17,0.15,0.22,0.32,0,0.26,139815,139815,0.2,0.72,0.06,0.01,0.01,139815,139815,0.91,0.09,77241,77241,0.04,0.09,0.16,0.15,0.22,0.33,0,0.07,0.25,62548,62548,0.05,0.09,0.17,0.16,0.22,0.31,0,0.08,0.26,77241,77241,0.19,0.73,0.06,0.01,0.01,62548,62548,0.21,0.7,0.07,0.01,0.01,126991,126991,0.18,0.76,0.05,0.01,,12824,12824,0.37,0.31,0.18,0.03,0.11,28027,28027,0.05,0.07,0.16,0.14,0.22,0.35,0,0.24,100588,100588,0.04,0.09,0.17,0.16,0.22,0.32,0,0.26,8990,8990,0.09,0.06,0.14,0.15,0.21,0.34,0,0.2,1176,1176,0.09,0.09,0.2,0.2,0.21,0.21,0,0.29,1398,1398,0.04,0.36,0.59,0,0,0,,0.949928469,19527,19527,0.04,0.1,0.22,0.19,0.22,0.23,0,0.32,139815,393,3298,*,6513,3510,94340,1029,30680,109135,0.004,0.03,*,0.06,0.032,0.864,0.009,71443,139815,68372,0.957014683
56,Wyoming,WY,FFM,20806,14629,2216,11970,11970,11969,0.55,0.45,11970,11970,0.1,0.09,0.2,0.15,0.18,0.28,0,0.29,11970,11970,0.23,0.66,0.07,0.04,0,11970,11970,0.93,0.07,6623,6623,0.09,0.09,0.2,0.15,0.19,0.29,0,0.11,0.28,5346,5346,0.12,0.09,0.2,0.16,0.17,0.27,0,0.15,0.29,6623,6637,0.22,0.68,0.07,0.04,0,5346,5346,0.24,0.64,0.07,0.05,0.01,11109,11109,0.22,0.68,0.06,0.03,,861,861,0.29,0.36,0.17,0.14,0.06,2706,2706,0.12,0.08,0.18,0.13,0.2,0.3,0,0.26,7906,7906,0.08,0.09,0.2,0.16,0.18,0.28,0,0.3,837,837,0.17,0.07,0.18,0.17,0.13,0.28,0,0.25,500,500,0.18,0.09,0.2,0.19,0.15,0.2,0,0.28,49,49,0.02,0.29,0.53,0.06,0,0.1,,0.816326531,1541,1541,0.03,0.1,0.26,0.18,0.17,0.26,0,0.36,11970,309,114,*,55,444,7832,120,3096,8874,0.035,0.013,*,0.006,0.05,0.883,0.014,6838,11970,5132,0.750511846
